CDNOM;FAMILLE;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
219793;Lycaenidae;Cupido argiades (Pallas, 1771);Azuré du Trèfle;DD;-;LC;LC 
53765;Nymphalidae;Limenitis populi (Linnaeus, 1758);Grand Sylvain;DD;-;NT ;LC 
53236;Hesperidae;Pyrgus armoricanus (Oberthur, 1910);Hespérie des potentilles;DD;-;LC ;LC 
53242;Hesperiidae;Pyrgus serratulae (Rambur, 1839);Hespérie de l'Alchémille;DD;-;LC ;LC 
247073;Zygaenidae;Rhagades pruni (Denis & Schiffermuller, 1775);Procris du Prunier;DD;-;/;/
247059;Zygaenidae;Zygaena lonicerae (Scheven, 1777);Zygène des bois;DD;-;/;/
247042;Zygaenidae;Zygaena purpuralis (Brunnich, 1763);Zygene pourpre;DD;-;/;/
247057;Zygaenidae;Zygaena transalpina (Esper, 1780);Zygène transalpine ;DD;-;/;/
219796;Lycaenidae;Cacyreus marshalli Butler, 1898;Brun du pélargonium;NA;-;NA ;/
53350;Nymphalidae;Danaus plexippus (Linnaeus, 1758);Monarque;NA;-;NA;/
54433;Pieridae;Euchloe crameri Butler, 1869;Marbré de Cramer;NA;-;LC ;LC 
54021;Lycaenidae;Lampides boeticus (Linnaeus, 1767);Azuré porte-queue;NA;-;LC ;LC 
53733;Nymphalidae;Nymphalis antiopa (Linnaeus, 1758);Morio;NA;-;LC ;LC 
54362;Pieridae;Pontia daplidice (Linnaeus, 1758);Marbré-de-vert ;NA;-;LC ;LC 
219830;Pieridae;Pieris mannii (Mayer, 1851);Piéride de l'Ibéride;NAb;-;LC ;LC 
